,SWP,delta_C,delta_L
304,0.890547866522841,0.11798205395604199,0.10019867259458701
305,0.8917966802044186,0.12470304385233438,0.08868521682632621
306,0.8750424640022724,0.15722948106759288,0.08067008050363071
307,0.8853728258551394,0.13532790627901248,0.08924760997926597
308,0.9030603921892733,0.10763822762053388,0.08490339851681535
309,0.8844908986391865,0.12023908750837406,0.11057697241975353
310,0.8887469025010123,0.1357633856874807,0.07951607707194118
311,0.8803242813068004,0.14805877246563046,0.08199484852988254
312,0.8960303724996769,0.11812879842389436,0.08754972226134591
313,0.8816484511783916,0.14766430508467304,0.07879994429444549
314,0.9057382060134459,0.09233598337447178,0.09614903944084109
315,0.8662341597092466,0.13371926555294375,0.1338123988177628
316,0.8853148586262305,0.13839439133404524,0.08457160132764523
317,0.8782757560455541,0.14173345198677834,0.09769959938748234
318,0.8866529868869346,0.13468637890369417,0.08691760524265124
319,0.8833615755059988,0.11991441835683579,0.1132677200575142
320,0.8832461028982521,0.1494348186293674,0.07022948069079764
321,0.8970960604199774,0.11060836662772695,0.09457394352634463
322,0.8810203484793728,0.1478053396073881,0.08041079862483927
323,0.8942351379919997,0.12151957422542121,0.08720897402913903
324,0.8936906698061194,0.11327580663026883,0.09885311833627204
325,0.8874674311811428,0.13192026247021346,0.08901798941636255
326,0.9044130009963354,0.10970399742769542,0.0789859589131978
327,0.8926596584326815,0.12108341979732444,0.09155710407042225
328,0.8771060137965913,0.13870101837461277,0.10472770021237246
329,0.8859611725007438,0.14221267707812052,0.07606091527903439
330,0.890168438299084,0.12641894560144823,0.09024518870467445
331,0.8980867401282351,0.1113712317571526,0.09148264213649715
332,0.881482654334672,0.14825601108920813,0.07818489382883553
333,0.8724539491749561,0.1508760292625989,0.09885552061509148
334,0.8907346435258087,0.13853550052924538,0.06845254811893912
335,0.8932773397091767,0.10226866890805747,0.11099807114934514
336,0.8905823026471061,0.12612432654991476,0.08964998182012886
337,0.8807651033928954,0.1421247544384881,0.09074400979465996
