input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/134223_covariance_mst.mat,0.938835,-0.000000,0.086501
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/135225_covariance_mst.mat,0.940277,-0.000000,0.084461
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/133019_covariance_mst.mat,0.921871,-0.000000,0.110490
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/134627_covariance_mst.mat,NaN,NaN,0.087854
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/131823_covariance_mst.mat,NaN,NaN,0.155637
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/132118_covariance_mst.mat,0.958977,-0.000000,0.058015
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/132017_covariance_mst.mat,0.930854,-0.000000,0.097788
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/136227_covariance_mst.mat,0.931681,-0.000000,0.096618
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/137027_covariance_mst.mat,0.941147,-0.000000,0.083230
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/135629_covariance_mst.mat,NaN,NaN,0.091784
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/136631_covariance_mst.mat,0.930097,-0.000000,0.098858
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/138332_covariance_mst.mat,0.942032,-0.000000,0.081978
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/137532_covariance_mst.mat,0.929143,-0.000000,0.100207
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/137229_covariance_mst.mat,0.948039,-0.000000,0.073484
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/139233_covariance_mst.mat,NaN,NaN,0.072432
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/138837_covariance_mst.mat,0.915725,-0.000000,0.119183
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/138130_covariance_mst.mat,0.952547,-0.000000,0.067109
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/135528_covariance_mst.mat,0.946898,-0.000000,0.075097
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/136126_covariance_mst.mat,0.934374,-0.000000,0.092809
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/151425_covariance_mst.mat,0.943926,-0.000000,0.079300
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/149741_covariance_mst.mat,NaN,NaN,0.078062
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/148941_covariance_mst.mat,0.940223,-0.000000,0.084537
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146937_covariance_mst.mat,0.954145,-0.000000,0.064849
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/151728_covariance_mst.mat,0.930581,-0.000000,0.098173
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/151324_covariance_mst.mat,NaN,NaN,0.111474
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/147030_covariance_mst.mat,NaN,NaN,0.103454
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/149842_covariance_mst.mat,NaN,NaN,0.112056
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/147636_covariance_mst.mat,0.932206,-0.000000,0.095876
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146533_covariance_mst.mat,0.929433,-0.000000,0.099797
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/150726_covariance_mst.mat,0.935121,-0.000000,0.091753
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/153631_covariance_mst.mat,NaN,NaN,0.085041
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/150928_covariance_mst.mat,0.925195,-0.000000,0.105790
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/151930_covariance_mst.mat,0.920937,-0.000000,0.111812
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/148840_covariance_mst.mat,0.930189,-0.000000,0.098727
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/148133_covariance_mst.mat,NaN,NaN,0.088693
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/153833_covariance_mst.mat,0.938687,-0.000000,0.086709
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/147737_covariance_mst.mat,NaN,NaN,0.079415
