input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/175742_covariance.mat,0.292907,0.671795,0.741602
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/176037_covariance.mat,0.292037,0.637532,0.772909
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/162733_covariance.mat,0.253115,0.381866,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/127630_covariance.mat,0.356398,0.423586,0.815081
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/129634_covariance.mat,0.867638,0.187188,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/129331_covariance.mat,0.215792,0.563727,0.959124
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/127327_covariance.mat,0.219388,0.479792,0.999958
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/125222_covariance.mat,0.249382,0.435161,0.978376
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/127832_covariance.mat,0.233716,0.441275,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130316_covariance.mat,0.602564,0.418695,0.397100
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/128127_covariance.mat,0.116299,0.761142,0.991237
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/128026_covariance.mat,0.249430,0.392927,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/126426_covariance.mat,0.669136,0.467912,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/126628_covariance.mat,0.371022,0.433327,0.783712
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/128935_covariance.mat,0.730420,0.381244,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/124220_covariance.mat,0.157758,0.665400,0.987962
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/149741_covariance.mat,0.567213,0.612053,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/151728_covariance.mat,0.196758,0.545297,0.998846
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/150928_covariance.mat,0.290420,0.220557,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/140925_covariance.mat,0.137004,0.729281,0.979414
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/139435_covariance.mat,0.485454,0.727679,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/100610_covariance.mat,0.277759,0.281829,0.999285
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/101309_covariance.mat,0.704737,0.417565,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/101107_covariance.mat,0.292893,-0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/101915_covariance.mat,0.254891,0.582633,0.880636
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/100206_covariance.mat,0.603879,0.560199,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/102311_covariance.mat,0.261423,0.336025,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/102008_covariance.mat,0.292893,0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/102513_covariance.mat,0.292893,-0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/102109_covariance.mat,0.222251,0.463828,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/151930_covariance.mat,0.560011,0.622238,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/151425_covariance.mat,0.255613,0.405199,0.990512
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/150726_covariance.mat,0.528134,0.667319,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/149842_covariance.mat,0.345491,0.654855,0.654270
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/151324_covariance.mat,0.735274,0.000000,0.374379
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/169444_covariance.mat,0.183022,0.585744,0.998311
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/169545_covariance.mat,0.292893,0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/153631_covariance.mat,0.278850,0.343147,0.980813
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/164030_covariance.mat,0.788322,0.299358,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/153934_covariance.mat,0.164028,0.630684,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154229_covariance.mat,0.121056,0.777047,0.970232
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/148840_covariance.mat,0.293572,0.000000,0.999040
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/149236_covariance.mat,0.472002,0.746702,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/148133_covariance.mat,0.567089,0.612228,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/147737_covariance.mat,0.475022,0.742374,0.009231
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/148941_covariance.mat,0.611667,0.549186,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146432_covariance.mat,0.253838,0.377924,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146533_covariance.mat,0.142869,0.774576,0.932422
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/163331_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/138837_covariance.mat,0.269543,0.303839,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/139839_covariance.mat,0.250889,0.686340,0.808226
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/139233_covariance.mat,0.300058,-0.000000,0.989867
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/147030_covariance.mat,0.244188,0.413726,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/123925_covariance.mat,0.574189,0.602187,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146937_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146836_covariance.mat,0.482212,0.371001,0.658727
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/134829_covariance.mat,0.191841,0.555147,0.999837
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154330_covariance.mat,0.230975,0.433982,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/145632_covariance.mat,0.097901,0.796584,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/143426_covariance.mat,0.686588,0.443232,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/145127_covariance.mat,0.426977,0.000000,0.810377
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146129_covariance.mat,0.292970,0.000000,0.999891
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/144125_covariance.mat,0.244162,0.382925,1.000000
